DateSpine,Q,SWEAvg,SWEMinus1,SWEMinus7,dSWE,precip,T,QMinus1,QMinus7
1/11/2005,490,11.4,10.54,9.1,2.3,37.83451662,0.502592314,480,500
1/12/2005,480,12.36,11.4,9.24,3.12,49.06381587,-5.39025855,490,490
1/13/2005,470,12.36,12.36,9.48,2.88,44.21438874,-8.105004146,480,480
1/14/2005,460,12.4,12.36,9.86,2.54,40.31239713,-5.701716179,470,470
1/15/2005,450,12.38,12.4,10.1,2.28,38.74146052,-4.052483668,460,470
1/16/2005,450,12.38,12.38,10.28,2.1,36.33176377,-2.907135303,450,480
1/17/2005,470,12.64,12.38,10.54,2.1,30.17000031,-0.820279048,450,480
1/18/2005,460,12.64,12.64,11.4,1.24,17.02651602,-0.421478202,470,490
1/19/2005,470,12.84,12.64,12.36,0.48,2.233169062,2.426550296,460,480
1/20/2005,500,12.86,12.84,12.36,0.5,1.214131813,3.349107579,470,470
1/21/2005,500,12.88,12.86,12.4,0.48,1.17148594,1.464263444,500,460
1/22/2005,600,12.86,12.88,12.38,0.48,1.165651404,1.257483603,500,450
1/23/2005,700,12.86,12.86,12.38,0.48,0.80335584,1.751756585,600,450
1/24/2005,720,12.92,12.86,12.64,0.28,0.021255273,1.520736728,700,470
1/25/2005,710,12.94,12.92,12.64,0.3,0.020114667,0.223714515,720,460
1/26/2005,808,12.94,12.94,12.84,0.1,0,-0.852794775,710,470
1/27/2005,873,12.94,12.94,12.86,0.08,0.398905925,0.037118564,808,500
1/28/2005,903,13.2,12.94,12.88,0.32,1.898997214,-0.286437673,873,500
1/29/2005,801,13.34,13.2,12.86,0.48,2.826076388,-0.409923426,903,600
1/30/2005,845,13.3,13.34,12.86,0.44,2.826076388,-1.805270938,801,700
1/31/2005,849,13.4,13.3,12.92,0.48,3.386773903,-3.591438155,845,720
2/1/2005,725,13.36,13.4,12.94,0.42,3.401195068,-5.780771615,849,710
2/2/2005,688,13.38,13.36,12.94,0.44,3.801993721,-4.197937114,725,808
2/3/2005,632,13.34,13.38,12.94,0.4,3.403087796,-0.995710253,688,873
2/4/2005,593,13.4,13.34,13.2,0.2,1.902996508,-0.547958712,632,903
2/5/2005,582,13.34,13.4,13.34,0,0.976184532,-1.725109037,593,801
2/6/2005,569,13.34,13.34,13.3,0.04,0.976184532,-2.749188011,582,845
2/7/2005,604,13.3,13.34,13.4,-0.1,0.415487017,-3.810959982,569,849
2/8/2005,495,13.6,13.3,13.36,0.24,10.57873523,-6.91900816,604,725
2/9/2005,532,13.78,13.6,13.38,0.4,12.59070942,-7.386022211,495,688
2/10/2005,487,13.88,13.78,13.34,0.54,16.40927515,-3.983676107,532,632
2/11/2005,634,13.92,13.88,13.4,0.52,17.55160962,-2.231216364,487,593
2/12/2005,595,14.12,13.92,13.34,0.78,21.07025776,-0.814726202,634,582
2/13/2005,583,14.74,14.12,13.34,1.4,24.73852367,0.129018144,595,569
2/14/2005,641,14.88,14.74,13.3,1.58,25.06489168,0.60608249,583,604
2/15/2005,815,15.22,14.88,13.6,1.62,24.75347633,-6.678908249,641,495
2/16/2005,627,15.64,15.22,13.78,1.86,30.11114942,-8.508102485,815,532
2/17/2005,577,15.62,15.64,13.88,1.74,26.2925837,-7.89721305,627,487
2/18/2005,413,15.72,15.62,13.92,1.8,25.74493326,-3.285604914,577,634
2/19/2005,572,15.94,15.72,14.12,1.82,24.55579249,-0.559770872,413,595
2/20/2005,684,16.18,15.94,14.74,1.44,22.03362366,-0.340444174,572,583
2/21/2005,809,16.74,16.18,14.88,1.86,27.85615264,-0.242345382,684,641
2/22/2005,1030,17,16.74,15.22,1.78,20.41411684,0.407280506,809,815
2/23/2005,1290,17.14,17,15.64,1.5,14.26145114,-1.137022529,1030,627
2/24/2005,1450,17.02,17.14,15.62,1.4,14.26145114,-1.936348104,1290,577
2/25/2005,1190,17.04,17.02,15.72,1.32,13.74625471,-1.061086766,1450,413
2/26/2005,1000,17.1,17.04,15.94,1.16,11.41648014,-1.315573749,1190,572
2/27/2005,873,17.16,17.1,16.18,0.98,10.27038307,-1.707031849,1000,684
2/28/2005,798,17.28,17.16,16.74,0.54,4.122554869,-1.376274252,873,809
3/1/2005,805,17.3,17.28,17,0.3,1.701965729,-1.78661809,798,1030
3/2/2005,783,17.48,17.3,17.14,0.34,0.678263919,-1.082310722,805,1290
3/3/2005,789,17.5,17.48,17.02,0.48,0.678263919,1.432590996,783,1450
3/4/2005,741,17.6,17.5,17.04,0.56,0.604525261,1.04401276,789,1190
3/5/2005,742,17.66,17.6,17.1,0.56,0.605611154,1.913992768,741,1000
3/6/2005,782,17.68,17.66,17.16,0.52,0.605611154,1.646878493,742,873
3/7/2005,862,17.76,17.68,17.28,0.48,0.604542362,1.123411502,782,798
3/8/2005,949,17.84,17.76,17.3,0.54,0.65384416,2.38380206,862,805
3/9/2005,997,17.8,17.84,17.48,0.32,0.066429109,5.117646373,949,783
3/10/2005,1100,17.8,17.8,17.5,0.3,0.066429109,2.085224585,997,789
3/11/2005,1140,17.76,17.8,17.6,0.16,0.060680161,2.972349391,1100,741
3/12/2005,1290,17.76,17.76,17.66,0.1,0.059594268,3.767612724,1140,742
3/13/2005,1270,17.7,17.76,17.68,0.02,0.059594268,-3.403289362,1290,782
3/14/2005,1390,17.62,17.7,17.76,-0.14,0.059594268,-6.37730919,1270,862
3/15/2005,1490,17.76,17.62,17.84,-0.08,0.007121202,-5.674482185,1390,949
3/16/2005,1130,17.8,17.76,17.8,0,0.000457816,-1.242421481,1490,997
3/17/2005,890,18.2,17.8,17.8,0.4,2.363132171,-1.072274284,1130,1100
3/18/2005,856,18.68,18.2,17.76,0.92,4.786593579,-1.549915016,890,1140
3/19/2005,856,18.94,18.68,17.76,1.18,6.197920413,1.993759165,856,1290
3/20/2005,767,19.08,18.94,17.7,1.38,8.029275802,1.864186383,856,1270
3/21/2005,726,19.82,19.08,17.62,2.2,16.22581333,0.132236523,767,1390
3/22/2005,812,20.16,19.82,17.76,2.4,18.78870089,0.77146026,726,1490
3/23/2005,937,20.24,20.16,17.8,2.44,20.52256138,3.102921192,812,1130
3/24/2005,919,20.26,20.24,18.2,2.06,21.15825262,-1.198454034,937,890
3/25/2005,923,20.54,20.26,18.68,1.86,23.02063442,-1.498651897,919,856
3/26/2005,1030,20.7,20.54,18.94,1.76,28.06514625,-0.447845562,923,856
3/27/2005,987,20.82,20.7,19.08,1.74,26.23585627,1.364440534,1030,767
3/28/2005,903,20.74,20.82,19.82,0.92,19.26529987,4.655066688,987,726
3/29/2005,870,20.64,20.74,20.16,0.48,20.42846547,0.593659103,903,812
3/30/2005,951,20.92,20.64,20.24,0.68,21.80327629,-2.822233978,870,937
3/31/2005,1320,21.54,20.92,20.26,1.28,22.05276178,-2.013488391,951,919
4/1/2005,1250,21.72,21.54,20.54,1.18,18.15633998,0.960069195,1320,923
4/2/2005,1040,22,21.72,20.7,1.3,12.50257429,5.215148225,1250,1030
4/3/2005,933,21.94,22,20.82,1.12,12.52188526,8.464958068,1040,987
4/4/2005,912,21.76,21.94,20.74,1.02,11.29844251,6.177591443,933,903
4/5/2005,1080,21.68,21.76,20.64,1.04,9.660544775,2.126206757,912,870
4/6/2005,1750,21.94,21.68,20.92,1.02,7.001585483,4.682455379,1080,951
4/7/2005,1890,21.98,21.94,21.54,0.44,4.168069934,8.755282232,1750,1320
4/8/2005,1640,21.64,21.98,21.72,-0.08,3.924888144,6.129685096,1890,1250
4/9/2005,2000,21.44,21.64,22,-0.56,5.154125887,2.125975013,1640,1040
4/10/2005,2810,21.52,21.44,21.94,-0.42,6.578708237,0.559377461,2000,933
4/11/2005,2710,21.52,21.52,21.76,-0.24,6.894972216,1.8141756,2810,912
4/12/2005,2320,21.52,21.52,21.68,-0.16,4.808863684,4.600858207,2710,1080
4/13/2005,1990,21.34,21.52,21.94,-0.6,4.373164727,8.167816158,2320,1750
4/14/2005,1940,20.96,21.34,21.98,-1.02,3.958829195,5.698106595,1990,1890
4/15/2005,2350,20.48,20.96,21.64,-1.16,3.81258957,5.158025162,1940,1640
4/16/2005,2980,20.08,20.48,21.44,-1.36,1.781278855,8.116343295,2350,2000
4/17/2005,3330,19.46,20.08,21.52,-2.06,0.343874665,10.31465969,2980,2810
4/18/2005,4050,18.7,19.46,21.52,-2.82,0.025072305,9.084139618,3330,2710
4/19/2005,5160,17.9,18.7,21.52,-3.62,0.022567591,7.743743016,4050,2320
4/20/2005,6200,17.04,17.9,21.34,-4.3,0.008554528,3.650897129,5160,1990
4/21/2005,6700,16.9,17.04,20.96,-4.06,1.059122164,2.088599987,6200,1940
4/22/2005,6130,16.92,16.9,20.48,-3.56,1.291535863,4.291304803,6700,2350
4/23/2005,4990,16.74,16.92,20.08,-3.34,1.494407068,8.64314426,6130,2980
4/24/2005,4470,16.12,16.74,19.46,-3.34,1.510894338,6.562768988,4990,3330
4/25/2005,5280,16.4,16.12,18.7,-2.3,14.68750613,5.578159478,4470,4050
4/26/2005,6450,16.46,16.4,17.9,-1.44,16.60136814,5.632282722,5280,5160
4/27/2005,6330,16.44,16.46,17.04,-0.6,17.26115635,6.569709282,6450,6200
4/28/2005,5550,16.78,16.44,16.9,-0.12,25.22438017,2.831838004,6330,6700
4/29/2005,5800,17.36,16.78,16.92,0.44,38.33536462,-1.078842932,5550,6130
4/30/2005,6770,17.64,17.36,16.74,0.9,41.97850015,0.188802144,5800,4990
5/1/2005,6210,18.04,17.64,16.12,1.92,46.67006919,2.362045794,6770,4470
5/2/2005,5220,18.06,18.04,16.4,1.66,33.51591007,3.18048273,6210,5280
5/3/2005,4700,17.94,18.06,16.46,1.48,31.86890998,6.281119986,5220,6450
5/4/2005,4370,17.66,17.94,16.44,1.22,31.29514398,8.180123075,4700,6330
5/5/2005,4260,17.52,17.66,16.78,0.74,22.7921611,9.401901662,4370,5550
5/6/2005,4410,17.4,17.52,17.36,0.04,9.470893834,9.465560265,4260,5800
5/7/2005,4830,17.32,17.4,17.64,-0.32,6.283364576,5.015031351,4410,6770
5/8/2005,5990,17.8,17.32,18.04,-0.24,10.52158431,7.979696749,4830,6210
5/9/2005,6630,18.42,17.8,18.06,0.36,15.07976766,10.54814823,5990,5220
5/10/2005,7260,18.32,18.42,17.94,0.38,16.18586388,9.445414807,6630,4700
5/11/2005,7150,18.06,18.32,17.66,0.4,21.14761687,4.7831572,7260,4370
5/12/2005,7690,18.04,18.06,17.52,0.52,24.6351218,3.705440635,7150,4260
5/13/2005,7400,18.26,18.04,17.4,0.86,29.80271887,6.911578328,7690,4410
5/14/2005,6540,18.36,18.26,17.32,1.04,29.73287819,9.053886503,7400,4830
5/15/2005,6020,18.08,18.36,17.8,0.28,21.13303841,10.75546405,6540,5990
5/16/2005,6160,17.3,18.08,18.42,-1.12,16.82181014,13.63443844,6020,6630
5/17/2005,7330,16.72,17.3,18.32,-1.6,16.57426934,7.167638607,6160,7260
5/18/2005,9060,16.54,16.72,18.06,-1.52,11.62819414,9.096905491,7330,7150
5/19/2005,8850,16.06,16.54,18.04,-1.98,7.629880636,14.75727672,9060,7690
5/20/2005,8920,15.44,16.06,18.26,-2.82,2.44015269,16.66814825,8850,7400
5/21/2005,10700,14.78,15.44,18.36,-3.58,1.852328167,15.61470238,8920,6540
5/22/2005,12800,14.3,14.78,18.08,-3.78,1.497337378,15.76856408,10700,6020
5/23/2005,14400,13.48,14.3,17.3,-3.82,1.227929633,16.41374151,12800,6160
5/24/2005,15200,12.6,13.48,16.72,-4.12,0.150474649,14.95143478,14400,7330
5/25/2005,15100,11.72,12.6,16.54,-4.82,0.172124481,10.3245425,15200,9060
5/26/2005,14700,10.8,11.72,16.06,-5.26,0.172124481,9.723820267,15100,8850
5/27/2005,13600,10.02,10.8,15.44,-5.42,0.172124481,11.01106176,14700,8920
5/28/2005,11900,9.2,10.02,14.78,-5.58,0.171312199,12.9689462,13600,10700
5/29/2005,10800,8.26,9.2,14.3,-6.04,0.1805211,12.28154468,11900,12800
5/30/2005,10000,7.68,8.26,13.48,-5.8,5.995371173,8.293846773,10800,14400
5/31/2005,10400,7.56,7.68,12.6,-5.04,19.51972538,8.259068293,10000,15200
6/1/2005,11200,7.4,7.56,11.72,-4.32,21.60334676,9.901088424,10400,15100
6/2/2005,9890,7.32,7.4,10.8,-3.48,26.9879528,5.80133616,11200,14700
6/3/2005,10100,7.68,7.32,10.02,-2.34,42.78315393,6.473643263,9890,13600
6/4/2005,11800,7.74,7.68,9.2,-1.46,50.72883512,8.563052042,10100,11900
6/5/2005,10900,8.24,7.74,8.26,-0.02,60.80740178,11.06657894,11800,10800
6/6/2005,11700,7.78,8.24,7.68,0.1,57.07724703,12.51045729,10900,10000
6/7/2005,11200,7.18,7.78,7.56,-0.38,43.63366994,9.72770349,11700,10400
6/8/2005,9610,6.84,7.18,7.4,-0.56,41.42669873,8.965837938,11200,11200
6/9/2005,8730,6.66,6.84,7.32,-0.66,36.49319822,9.315623244,9610,9890
6/10/2005,8170,6.52,6.66,7.68,-1.16,23.30047192,9.200915289,8730,10100
6/11/2005,7830,6.62,6.52,7.74,-1.12,17.88707813,9.735874832,8170,11800
6/12/2005,7500,6.52,6.62,8.24,-1.72,11.74164638,7.472745465,7830,10900
6/13/2005,7000,6.56,6.52,7.78,-1.22,16.40676855,8.858473404,7500,11700
6/14/2005,6500,6.58,6.56,7.18,-0.6,16.79617521,12.4478157,7000,11200
6/15/2005,6300,6.54,6.58,6.84,-0.3,16.80684867,15.92602328,6500,9610
6/16/2005,6110,6.36,6.54,6.66,-0.3,16.45182764,16.76826385,6300,8730
6/17/2005,6670,6.08,6.36,6.52,-0.44,13.84935281,17.20312953,6110,8170
6/18/2005,7030,5.66,6.08,6.62,-0.96,11.31706541,18.16919617,6670,7830
6/19/2005,7300,5.22,5.66,6.52,-1.3,7.3747216,18.25476861,7030,7500
6/20/2005,7620,4.82,5.22,6.56,-1.74,0.624904106,18.96959414,7300,7000
6/21/2005,7720,4.48,4.82,6.58,-2.1,0.106757955,20.50692586,7620,6500
6/22/2005,7410,4.18,4.48,6.54,-2.36,0.158977545,18.89845973,7720,6300
6/23/2005,7280,3.88,4.18,6.36,-2.48,7.444839947,17.02408545,7410,6110
6/24/2005,7330,3.5,3.88,6.08,-2.58,8.835089517,16.53086776,7280,6670
6/25/2005,7510,3.12,3.5,5.66,-2.54,9.186777476,16.82711119,7330,7030
6/26/2005,7090,2.8,3.12,5.22,-2.42,10.7686676,15.05874126,7510,7300
6/27/2005,6570,2.44,2.8,4.82,-2.38,11.35438184,16.03776064,7090,7620
6/28/2005,6320,2.08,2.44,4.48,-2.4,11.36643342,15.78589851,6570,7720
6/29/2005,5470,1.7,2.08,4.18,-2.48,14.7202307,13.4333688,6320,7410
6/30/2005,5100,1.4,1.7,3.88,-2.48,7.63412865,14.92342143,5470,7280
7/1/2005,5000,1.02,1.4,3.5,-2.48,6.247338225,16.74249602,5100,7330
7/2/2005,4300,0.6,1.02,3.12,-2.52,5.895650266,18.19878929,5000,7510
7/3/2005,3890,0.26,0.6,2.8,-2.54,4.322203906,16.88477568,4300,7090
7/4/2005,3630,0,0.26,2.44,-2.44,3.84657207,15.03830943,3890,6570
7/5/2005,3390,0,0,2.08,-2.08,3.834520488,17.3845398,3630,6320
7/6/2005,3150,0,0,1.7,-1.7,0.417830166,19.21200843,3390,5470
7/7/2005,2910,0,0,1.4,-1.4,0.121985315,20.19439366,3150,5100
7/8/2005,2740,0,0,1.02,-1.02,0.118526169,20.83163614,2910,5000
7/9/2005,2600,0,0,0.6,-0.6,0.118526169,20.35901468,2740,4300
7/10/2005,2410,0,0,0.26,-0.26,0.110082404,19.10566405,2600,3890
7/11/2005,2230,0,0,0,0,0,19.59822586,2410,3630
7/12/2005,2050,0,0,0,0,0,21.18391235,2230,3390
7/13/2005,1870,0,0,0,0,0,22.56147509,2050,3150
7/14/2005,1670,0,0,0,0,0,23.28633626,1870,2910
7/15/2005,1510,0,0,0,0,0,21.71705506,1670,2740
7/16/2005,1380,0,0,0,0,0,22.82241789,1510,2600
7/17/2005,1210,0,0,0,0,0,20.83502113,1380,2410
7/18/2005,1090,0,0,0,0,0,18.58662818,1210,2230
7/19/2005,997,0,0,0,0,0,20.80589133,1090,2050
7/20/2005,870,0,0,0,0,0,23.34835524,997,1870
7/21/2005,772,0,0,0,0,0,23.40532855,870,1670
7/22/2005,716,0,0,0,0,0,23.97515536,772,1510
7/23/2005,652,0,0,0,0,0,21.06571681,716,1380
7/24/2005,610,0,0,0,0,0.876043485,18.85540919,652,1210
7/25/2005,572,0,0,0,0,3.827709447,16.76664161,610,1090
7/26/2005,611,0,0,0,0,7.57341547,15.37377549,572,997
7/27/2005,646,0,0,0,0,7.579617136,16.81292874,611,870
7/28/2005,727,0,0,0,0,7.696286933,18.92277442,646,772
7/29/2005,658,0,0,0,0,7.696286933,21.03108227,727,716
7/30/2005,612,0,0,0,0,7.806591283,20.6402459,658,652
7/31/2005,553,0,0,0,0,7.536455987,20.60761521,612,610
8/1/2005,525,0,0,0,0,5.050162308,19.84367558,553,572
8/2/2005,483,0,0,0,0,2.166033577,18.33335447,525,611
8/3/2005,429,0,0,0,0,4.181024996,17.93466908,483,646
8/4/2005,375,0,0,0,0,4.304316859,17.48520651,429,727
8/5/2005,398,0,0,0,0,4.861157507,17.24052861,375,658
8/6/2005,408,0,0,0,0,4.752990741,18.98690845,398,612
8/7/2005,381,0,0,0,0,4.162828464,19.69311442,408,553
8/8/2005,360,0,0,0,0,3.716579353,20.52689817,381,525
8/9/2005,341,0,0,0,0,4.040402521,20.19073208,360,483
8/10/2005,336,0,0,0,0,4.060894804,16.36524117,341,429
8/11/2005,328,0,0,0,0,6.795546892,17.24039022,336,375
8/12/2005,303,0,0,0,0,6.261127948,17.6379345,328,398
8/13/2005,312,0,0,0,0,6.258990364,15.02141991,303,408
8/14/2005,348,0,0,0,0,6.876291127,15.18662871,312,381
8/15/2005,319,0,0,0,0,6.86495915,17.19854226,348,360
8/16/2005,302,0,0,0,0,5.812835366,14.93044418,319,341
8/17/2005,316,0,0,0,0,9.332709672,14.35994368,302,336
8/18/2005,273,0,0,0,0,6.67928714,16.17299414,316,328
8/19/2005,273,0,0,0,0,6.881111653,15.60810903,273,303
8/20/2005,309,0,0,0,0,6.881111653,17.01959129,273,312
8/21/2005,353,0,0,0,0,6.248064978,17.50849257,309,348
8/22/2005,299,0,0,0,0,6.278504507,16.65683919,353,319
8/23/2005,272,0,0,0,0,6.146485995,15.5598808,299,302
8/24/2005,264,0,0,0,0,2.215608096,16.89349029,272,316
8/25/2005,263,0,0,0,0,2.990451427,17.40049711,264,273
8/26/2005,255,0,0,0,0,4.428936111,17.35640185,263,273
8/27/2005,282,0,0,0,0,4.428936111,17.32891286,255,309
8/28/2005,261,0,0,0,0,4.428936111,17.46726267,282,353
8/29/2005,260,0,0,0,0,4.390705387,18.3497986,261,299
8/30/2005,263,0,0,0,0,4.389447224,16.06862918,260,272
8/31/2005,208,0,0,0,0,2.758765448,11.62710928,263,264
9/1/2005,185,0,0,0,0,1.662730902,14.34676167,208,263
9/2/2005,170,0,0,0,0,0.295805175,16.58956012,185,255
9/3/2005,145,0,0,0,0,0.340194248,17.58630874,170,282
9/4/2005,129,0,0,0,0,0.803238061,16.96067687,145,261
9/5/2005,131,0,0,0,0,0.806138148,17.01817559,129,260
9/6/2005,125,0,0,0,0,0.901802817,16.82169753,131,263
9/7/2005,118,0,0,0,0,0.901802817,17.47993427,125,208
